Ticker,Name,Sector
AVGO,BROADCOM INC,Information Technology
CSCO,CISCO SYSTEMS INC,Information Technology
TXN,TEXAS INSTRUMENT INC,Information Technology
VZ,VERIZON COMMUNICATIONS INC,Communication Services
LMT,LOCKHEED MARTIN CORP,Industrials
MRK,MERCK & CO INC,Health Care
PEP,PEPSICO INC,Consumer Staples
KO,COCA-COLA,Consumer Staples
HD,HOME DEPOT INC,Consumer Discretionary
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology
BLK,BLACKROCK INC,Financials
AMGN,AMGEN INC,Health Care
PFE,PFIZER INC,Health Care
ADP,AUTOMATIC DATA PROCESSING INC,Information Technology
MO,ALTRIA GROUP INC,Consumer Staples
ITW,ILLINOIS TOOL INC,Industrials
EOG,EOG RESOURCES INC,Energy
MMM,3M,Industrials
VLO,VALERO ENERGY CORP,Energy
USB,US BANCORP,Financials
KMB,KIMBERLY CLARK CORP,Consumer Staples
NEM,NEWMONT,Materials
PAYX,PAYCHEX INC,Information Technology
CMI,CUMMINS INC,Industrials
ALL,ALLSTATE CORP,Financials
PRU,PRUDENTIAL FINANCIAL INC,Financials
FAST,FASTENAL,Industrials
OKE,ONEOK INC,Energy
TROW,T ROWE PRICE GROUP INC,Financials
GPC,GENUINE PARTS,Consumer Discretionary
MTB,M&T BANK CORP,Financials
LYB,LYONDELLBASELL INDUSTRIES NV CLASS,Materials
HIG,HARTFORD FINANCIAL SERVICES GROUP,Financials
FITB,FIFTH THIRD BANCORP,Financials
RF,REGIONS FINANCIAL CORP,Financials
OMC,OMNICOM GROUP INC,Communication Services
CINF,CINCINNATI FINANCIAL CORP,Financials
NTRS,NORTHERN TRUST CORP,Financials
PFG,PRINCIPAL FINANCIAL GROUP INC,Financials
TSN,TYSON FOODS INC CLASS A,Consumer Staples
K,KELLOGG,Consumer Staples
AMCR,AMCOR PLC,Materials
HBAN,HUNTINGTON BANCSHARES INC,Financials
BBY,BEST BUY INC,Consumer Discretionary
IPG,INTERPUBLIC GROUP OF COMPANIES INC,Communication Services
SNA,SNAP ON INC,Industrials
IP,INTERNATIONAL PAPER,Materials
KEY,KEYCORP,Financials
PARA,PARAMOUNT GLOBAL CLASS B,Communication Services
WSO,WATSCO INC,Industrials
FNF,FIDELITY NATIONAL FINANCIAL INC,Financials
FHN,FIRST HORIZON CORP,Financials
BEN,FRANKLIN RESOURCES INC,Financials
NRG,NRG ENERGY INC,Utilities
WHR,WHIRLPOOL CORP,Consumer Discretionary
UNM,UNUM,Financials
WBS,WEBSTER FINANCIAL CORP,Financials
HAS,HASBRO INC,Consumer Discretionary
JEF,JEFFERIES FINANCIAL GROUP INC,Financials
CMA,COMERICA INC,Financials
HRB,H&R BLOCK INC,Consumer Discretionary
FAF,FIRST AMERICAN FINANCIAL CORP,Financials
FLO,FLOWERS FOODS INC,Consumer Staples
SNV,SYNOVUS FINANCIAL CORP,Financials
ZION,ZIONS BANCORPORATION,Financials
NSP,INSPERITY INC,Industrials
LEG,LEGGETT & PLATT INC,Consumer Discretionary
WU,WESTERN UNION,Information Technology
EVR,EVERCORE INC CLASS A,Financials
OZK,BANK OZK,Financials
MSM,MSC INDUSTRIAL INC CLASS A,Industrials
LAZ,LAZARD LTD CLASS A,Financials
JHG,JANUS HENDERSON GROUP PLC,Financials
RDN,RADIAN GROUP INC,Financials
FHI,FEDERATED HERMES INC CLASS B,Financials
CATY,CATHAY GENERAL BANCORP,Financials
CVBF,CVB FINANCIAL CORP,Financials
IBOC,INTERNATIONAL BANCSHARES CORP,Financials
MGRC,MCGRATH RENT,Industrials
BOH,BANK OF HAWAII CORP,Financials
BANR,BANNER CORP,Financials
NWBI,NORTHWEST BANCSHARES INC,Financials
CNS,COHEN & STEERS INC,Financials
GVMXX,SSC GOVERNMENT MM GVMXX,
SYBT,STOCK YARDS BANCORP INC,Financials
CHCO,CITY HOLDING,Financials
STBA,S AND T BANCORP INC,Financials
FCF,FIRST COMMONWEALTH FINANCIAL CORP,Financials
AGM,FEDERAL AGRICULTURAL MORTGAGE NON,Financials
EIG,EMPLOYERS HOLDINGS INC,Financials
HNI,HNI CORP,Industrials
SAFT,SAFETY INSURANCE GROUP INC,Financials
BKE,BUCKLE INC,Consumer Discretionary
RGR,STURM RUGER INC,Consumer Discretionary
HFWA,HERITAGE FINANCIAL CORP,Financials
MCY,MERCURY GENERAL CORP,Financials
SRCE,1ST SOURCE CORP,Financials
PFC,PREMIER FINANCIAL CORP,Financials
ETD,ETHAN ALLEN INTERIORS INC,Consumer Discretionary
PETS,PETMED EXPRESS INC,Consumer Discretionary
